model_id,model_type,params,split,feature,score,rank
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_80,0.0,4
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_79,0.0,5
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_78,0.0,6
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_77,0.0,7
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_75,0.0,8
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_74,0.0,9
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_73,0.0,10
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,make_renault,1.0,1
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_82,0.0,2
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_81,0.0,3
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_80,0.0,4
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_79,0.0,5
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_78,0.0,6
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_77,0.0,7
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_76,0.0,8
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_75,0.0,9
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_74,0.0,10
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_78,1.0,1
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_82,0.0,2
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_81,0.0,3
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_80,0.0,4
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_79,0.0,5
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_77,0.0,6
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_76,0.0,7
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_75,0.0,8
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_74,0.0,9
DT_paramset-2,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_73,0.0,10
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_76,1.0,1
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_82,0.0,2
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_81,0.0,3
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_80,0.0,4
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_79,0.0,5
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_78,0.0,6
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_77,0.0,7
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_75,0.0,8
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_74,0.0,9
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",1,year_73,0.0,10
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,make_renault,1.0,1
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_82,0.0,2
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_81,0.0,3
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_80,0.0,4
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_79,0.0,5
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_78,0.0,6
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_77,0.0,7
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_76,0.0,8
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_75,0.0,9
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",2,year_74,0.0,10
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_78,1.0,1
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_82,0.0,2
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_81,0.0,3
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_80,0.0,4
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_79,0.0,5
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_77,0.0,6
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_76,0.0,7
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_75,0.0,8
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_74,0.0,9
DT_paramset-3,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'sqrt'}",3,year_73,0.0,10
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,basi_5,1.0,1
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_82,0.0,2
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_81,0.0,3
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_80,0.0,4
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_79,0.0,5
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_78,0.0,6
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_77,0.0,7
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_76,0.0,8
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_75,0.0,9
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_74,0.0,10
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,basi_matador,1.0,1
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_82,0.0,2
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_81,0.0,3
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_80,0.0,4
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_79,0.0,5
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_78,0.0,6
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_77,0.0,7
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_76,0.0,8
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_75,0.0,9
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_74,0.0,10
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,basi_model,1.0,1
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_82,0.0,2
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_81,0.0,3
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_80,0.0,4
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_79,0.0,5
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_78,0.0,6
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_77,0.0,7
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_76,0.0,8
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_75,0.0,9
DT_paramset-4,DT,"{'criterion': 'gini', 'min_samples_split': 2, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_74,0.0,10
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,basi_5,1.0,1
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_82,0.0,2
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_81,0.0,3
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_80,0.0,4
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_79,0.0,5
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_78,0.0,6
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_77,0.0,7
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_76,0.0,8
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_75,0.0,9
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_74,0.0,10
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,basi_matador,1.0,1
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_82,0.0,2
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_81,0.0,3
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_80,0.0,4
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_79,0.0,5
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_78,0.0,6
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_77,0.0,7
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_76,0.0,8
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_75,0.0,9
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_74,0.0,10
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,basi_model,1.0,1
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_82,0.0,2
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_81,0.0,3
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_80,0.0,4
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_79,0.0,5
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_78,0.0,6
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_77,0.0,7
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_76,0.0,8
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_75,0.0,9
DT_paramset-5,DT,"{'criterion': 'gini', 'min_samples_split': 5, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_74,0.0,10
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,basi_5,1.0,1
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_82,0.0,2
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_81,0.0,3
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_80,0.0,4
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_79,0.0,5
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_78,0.0,6
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_77,0.0,7
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_76,0.0,8
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_75,0.0,9
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",1,year_74,0.0,10
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,basi_matador,1.0,1
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_82,0.0,2
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_81,0.0,3
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_80,0.0,4
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_79,0.0,5
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_78,0.0,6
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_77,0.0,7
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_76,0.0,8
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_75,0.0,9
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",2,year_74,0.0,10
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,basi_model,1.0,1
DT_paramset-6,DT,"{'criterion': 'gini', 'min_samples_split': 10, 'random_state': 1, 'max_depth': 1, 'max_features': 'log2'}",3,year_82,0.0,2
