model_id,model_type,params,split,feature,score,rank
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_79,0.0,5
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_78,0.0,6
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_77,0.0,7
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_76,0.0,8
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_75,0.0,9
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_74,0.0,10
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,cyli_4,1.0,1
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_82,0.0,2
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_81,0.0,3
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_80,0.0,4
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_79,0.0,5
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_78,0.0,6
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_77,0.0,7
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_76,0.0,8
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_75,0.0,9
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_74,0.0,10
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,cyli_4,1.0,1
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_82,0.0,2
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_81,0.0,3
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_80,0.0,4
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_79,0.0,5
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_78,0.0,6
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_77,0.0,7
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_76,0.0,8
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_75,0.0,9
GB_paramset-2,GB,"{'subsample': 0.5, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_74,0.0,10
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,displacement,1.0,1
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_82,0.0,2
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_81,0.0,3
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_80,0.0,4
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_79,0.0,5
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_78,0.0,6
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_77,0.0,7
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_76,0.0,8
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_75,0.0,9
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",1,year_74,0.0,10
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,displacement,1.0,1
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_82,0.0,2
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_81,0.0,3
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_80,0.0,4
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_79,0.0,5
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_78,0.0,6
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_77,0.0,7
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_76,0.0,8
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_75,0.0,9
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",2,year_74,0.0,10
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,displacement,1.0,1
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_82,0.0,2
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_81,0.0,3
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_80,0.0,4
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_79,0.0,5
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_78,0.0,6
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_77,0.0,7
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_76,0.0,8
GB_paramset-3,GB,"{'subsample': 1.0, 'learning_rate': 0.001, 'random_state': 1, 'max_depth': 1, 'n_estimators': 1}",3,year_75,0.0,9
